At. #,at. wt.
0,
1,1.00797
2,4.0026
3,6.941
4,9.01218
5,10.811
6,12.011
7,14.0067
8,15.9994
9,18.9984
10,20.1797
11,22.98977
12,24.305
13,26.98154
14,28.0855
15,30.97376
16,32.066
17,35.4527
18,39.948
19,39.0983
20,40.078
21,44.9559
22,47.88
23,50.9415
24,51.996
25,54.938
26,55.847
27,58.9332
28,58.6934
29,63.456
30,65.39
31,69.723
32,72.61
33,74.9216
34,78.96
35,79.904
36,83.8
37,85.4678
38,87.62
39,88.9059
40,91.224
41,92.9064
42,95.94
43,98
44,101.07
45,102.9055
46,106.42
47,107.868
48,112.41
49,114.82
50,118.71
51,121.757
52,127.6
53,126.9045
54,131.29
55,132.9054
56,137.33
57,138.9055
58,140.12
59,140.9077
60,144.24
61,145
62,150.36
63,151.965
64,157.25
65,158.9253
66,162.5
67,164.9303
68,167.26
69,168.9342
70,173.04
71,174.967
72,178.49
73,180.9479
74,183.85
75,186.207
76,190.2
77,192.22
78,195.08
79,196.9665
80,200.59
81,204.383
82,207.2
83,208.9804
84,209
85,210
86,222
87,223
88,226.0254
89,227
90,232.0381
91,231.0359
92,238.029
93,237.0482
94,244
95,243
96,247
97,247
98,251
99,252
100,257
101,258
102,259
103,260
104,261
105,262
106,263
107,262
108,265
109,266
110,

